,
Messages,Berichten 
Login to view your messages,Log in om je berichten te bekijken 
Hi,Hallo 
You have,Je hebt 
new messages,nieuwe berichten 
There are,Er zijn 
announcement(s),De aankondiging(en) 
View Message Box,Kijk Postvak IN 
Options successfully saved,Opties succesvol opgeslagen 
Cartpauj PM Settings,Cartpauj PM Instellingen 
Setting,Instelling
Value,Waarde 
Max messages a user can keep in box? (0 = Unlimited),Max berichten van een gebruiker kan in doos houden? (0 = onbeperkt) 
Admins always have Unlimited,Admins altijd Unlimited 
Default,Standaard
Messages to show per page,Berichten tonen per pagina 
Do not set this to 0!,Doe dit niet op 0! 
Hide \”Cartpauj PM\” Branding Footer,Verbergen \”Cartpauj PM\” Branding voettekst 
Save Options,Opties voor opslaan 
Setup Instructions,Installatie-instructies 
Create a new page.,Maak een nieuwe pagina. 
Paste [cartpauj-pm] under the HTML tab of the page editor,Plakken [cartpauj-pm] onder het tabblad HTML van de pagina-editor 
Publish the page,Publiceer de pagina 
Your settings have been saved!,Uw instellingen zijn opgeslagen! 
Set your preferences below,Stel hieronder uw voorkeuren 
Allow others to send me messages?,Anderen toestaan ??mij berichten sturen?
Email me when I get new messages?,E-mail mij wanneer ik nieuwe berichten te krijgen? 
Create New Message,Nieuwe bericht toevoeg
To,Aan
Subject,Onderwerp 
Message,Bericht 
Send Message,Bericht verzenden 
Message Error,Bericht fout 
Back To Message Box,Terug naar de Postvak IN 
You cannot send messages because your message box is full!,Je kunt geen berichten verzenden omdat uw postvak IN vol is! 
Message Thread,Bericht draad 
Sender,Zender
Privacy Error,Privacy Fout 
You do not have permission to view this message!,U heeft geen toestemming om dit bericht te bekijken zijn! 
Re:,Re: 
Add Reply,Reactie toevoegen 
You must enter a valid recipient!,U moet een geldige ontvanger in te voeren! 
You must enter a valid subject!,U moet een geldig onderwerp in te voeren! 
You must enter some message content!,Je moet een inhoud van het bericht te gaan! 
You do not have permission to send this message!,U heeft geen toestemming om dit bericht te verzenden! 
This user does not want to receive messages!,Deze gebruiker heeft geen berichten wilt ontvangen! 
The Recipients Message Box Is Full!,De Ontvangers Postvak IN is vol! 
Message Sent,Bericht verzonden 
Your message was successfully sent!,Uw bericht is succesvol verzonden! 
You have received a new message from,Je hebt een nieuw bericht van ontvangst 
follow this link to view it,volg deze link om het te bekijken 
New Message,Nieuwe bericht
Your Messages,Uw berichten 
Page,Pagina 
Started By,Gestart door 
To: Subject,Aan: Onderwerp 
Last Reply By,Laatste reactie door 
Delete,Verwijderen
Unread,Ongelezen 
Read,Gelezen 
Are you sure?,Weet je het zeker?
No Messages,Geen berichten 
Refresh Message Box,Herlaad Postvak IN 
Your message box is empty!,Uw postvak IN is leeg! 
Message Deleted,Bericht verwijderd 
Your message was successfully deleted!,Uw bericht is succesvol verwijderd! 
Announcement Added,Aankondiging Toegevoegd 
Back To Announcements,Terug naar Aankondigingen 
The announcement was successfully added!,De aankondiging werd succesvol toegevoegd! 
Announcement Deleted,Aankondiging verwijderd 
The announcement was successfully deleted!,De aankondiging werd succesvol verwijderd! 
Announcements,Mededelingen 
There are no announcements!,Er zijn geen aankondigingen! 
Date,Datum 
Add a new announcement below,Voeg een nieuwe aankondiging hieronder 
Submit,Verzenden 
Unlimited,Onbeperkt
Welcome,Welkom
and,en 
Message box size,Postvak IN groote
of,van 
Your Message Box Is Full!,Uw Postvak IN is vol! 
Message Box,Postvak IN 
Directory,Adresboek
Settings,Instellingen 
You must be logged-in to view this page.,U moet ingelogd zijn om deze pagina te bekijken. 
Bold,Vet 
Italic,Cursief 
Underline,Onderstrepen 
Strikethrough,Doorhalen 
Code,Code 
Quote,Quote 
List,Lijst 
List item,Lijst-item 
Link,Link 
Image,Beeld 
Email,E-mail 
Add Hex Color,Voeg Hex Color 
Embed,Embedden 
Cartpauj-PM Widget,Cartpauj-PM Widget 
No Matches Found,Geen resultaten gevonden 
